source,target,similarity
tweet_1982930714002895355,tweet_1983899048516976883,0.21655110875424474
tweet_1982930768134582737,tweet_1983565819595428051,0.13648823235950228
tweet_1982930768134582737,tweet_1983656867843944534,0.12753504908772048
tweet_1982930768134582737,tweet_1984233487877169153,0.12684391844464094
tweet_1982930900229972461,tweet_1983152149509951809,0.15178952974770843
tweet_1982930900229972461,tweet_1983896100252569914,0.13145218020422744
tweet_1982937283482300715,tweet_1982954295596089454,0.20961137278410685
tweet_1982939094171730122,tweet_1983001244261331303,0.18260381330700182
tweet_1982956509207376325,tweet_1983595436431778255,0.1493949209671605
tweet_1982968409429320090,tweet_1983001244261331303,0.14580619904486394
tweet_1983001244261331303,tweet_1983325051211657611,0.1781491116647228
tweet_1983001244261331303,tweet_1983159026646204832,0.1627758774734097
tweet_1983001244261331303,tweet_1983907045989306806,0.14788117452268776
tweet_1983155373982052432,tweet_1983159026646204832,0.12290383938994175
tweet_1983159026646204832,tweet_1983868908299022831,0.1457595437336238
tweet_1983159026646204832,tweet_1983325051211657611,0.1212655170510554
tweet_1983215917266792732,tweet_1983325048028230140,0.19872686287696378
tweet_1983215917266792732,tweet_1983270849282224273,0.19631635689519447
tweet_1983270849282224273,tweet_1983325048028230140,0.17116444161091757
tweet_1983270849282224273,tweet_1983889854607061474,0.1352388111652789
tweet_1983270849282224273,tweet_1983574489129455753,0.12081387094081579
tweet_1983325051211657611,tweet_1983907043724439871,0.15421226671921204
tweet_1983325051211657611,tweet_1983653199602184503,0.14647898344452032
tweet_1983521545386377492,tweet_1983534293315166446,0.12946523013926323
tweet_1983524514131591374,tweet_1983887190619758822,0.2897829387753204
tweet_1983524514131591374,tweet_1983572772954497479,0.1713813042678522
tweet_1983001244261331303,tweet_1983532223715529055,0.12472033213334223
tweet_1983565819595428051,tweet_1983676920299491695,0.24579085433748862
tweet_1983579369499955619,tweet_1983887190619758822,0.13635983630197562
tweet_1983620860943777958,tweet_1984361390019396054,0.15153966841198316
tweet_1983653610828280197,tweet_1984399822296629284,0.15000764081336265
tweet_1983890008256999465,tweet_1984244298943201567,0.1307533254765513
tweet_1983890201954148675,tweet_1984230225220387170,0.13503977246119997
tweet_1983890201954148675,tweet_1984094167442846017,0.13503977246119997
tweet_1983890201954148675,tweet_1984230329071407421,0.13503977246119997
tweet_1983890201954148675,tweet_1984230420138099193,0.13503977246119997
tweet_1983890201954148675,tweet_1984230195042377939,0.13503977246119997
tweet_1983898823706735074,tweet_1984233487877169153,0.1645816736908646
tweet_1983899764858220609,tweet_1984094167442846017,0.13503977246119997
tweet_1983899764858220609,tweet_1984230225220387170,0.13503977246119997
tweet_1983899764858220609,tweet_1984230376043422159,0.13503977246119997
tweet_1983899764858220609,tweet_1984230195042377939,0.13503977246119997
tweet_1983899764858220609,tweet_1984230420138099193,0.13503977246119997
tweet_1983908439320346791,tweet_1983908727234179201,0.1615187960056882
tweet_1984086500758450261,tweet_1984230225220387170,0.13503977246119997
tweet_1984086500758450261,tweet_1984094167442846017,0.13503977246119997
tweet_1984086500758450261,tweet_1984230329071407421,0.13503977246119997
tweet_1984086500758450261,tweet_1984230420138099193,0.13503977246119997
tweet_1984086500758450261,tweet_1984230195042377939,0.13503977246119997
tweet_1984094167442846017,tweet_1984230225220387170,0.13503977246119997
tweet_1984094167442846017,tweet_1984230329071407421,0.13503977246119997
tweet_1984094167442846017,tweet_1984230420138099193,0.13503977246119997
tweet_1984094167442846017,tweet_1984230195042377939,0.13503977246119997
tweet_1984225025390788978,tweet_1984253353824850340,0.21745679518558053
tweet_1984230195042377939,tweet_1984230225220387170,0.13503977246119997
tweet_1984230195042377939,tweet_1984230329071407421,0.13503977246119997
tweet_1984230195042377939,tweet_1984230420138099193,0.13503977246119997
tweet_1984230225220387170,tweet_1984230329071407421,0.13503977246119997
tweet_1984230225220387170,tweet_1984230420138099193,0.13503977246119997
tweet_1984230329071407421,tweet_1984230420138099193,0.13503977246119997
tweet_1984230195042377939,tweet_1984230376043422159,0.13503977246119997
tweet_1984086500758450261,tweet_1984230376043422159,0.13503977246119997
tweet_1984230225220387170,tweet_1984230376043422159,0.13503977246119997
tweet_1984230376043422159,tweet_1984230420138099193,0.13503977246119997
tweet_1984094167442846017,tweet_1984230376043422159,0.13503977246119997
tweet_1984094167442846017,tweet_1984230460227195032,0.13503977246119997
tweet_1984230225220387170,tweet_1984230460227195032,0.13503977246119997
tweet_1984230376043422159,tweet_1984230460227195032,0.13503977246119997
tweet_1984230195042377939,tweet_1984230460227195032,0.13503977246119997
tweet_1984230420138099193,tweet_1984230460227195032,0.13503977246119997
tweet_1983001244261331303,tweet_1984230751651639668,0.13706529664737002
tweet_1984244294648254724,tweet_1984244298943201567,0.37291224551900193
tweet_1984244294648254724,tweet_1984244305863856513,0.13788887474694939
tweet_1984244298943201567,tweet_1984244305863856513,0.13881806197020224
tweet_1984259085202845766,tweet_1984275480296685679,0.19436073712008695
tweet_1984230195042377939,tweet_1984396679747928570,0.13503977246119997
tweet_1984094167442846017,tweet_1984396679747928570,0.13503977246119997
tweet_1984230329071407421,tweet_1984396679747928570,0.13503977246119997
tweet_1984230225220387170,tweet_1984396679747928570,0.13503977246119997
tweet_1984230420138099193,tweet_1984396679747928570,0.13503977246119997
